Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0402_1005Metric",122.555000,-89.535000,0.000000,top
"C2","100nF","C_0402_1005Metric",127.000000,-89.535000,0.000000,top
"C3","100nF","C_0402_1005Metric",131.445000,-89.535000,0.000000,top
"C4","100nF","C_0402_1005Metric",135.890000,-89.535000,0.000000,top
"C5","100nF","C_0402_1005Metric",140.335000,-89.535000,0.000000,top
"C6","100nF","C_0402_1005Metric",144.780000,-89.535000,0.000000,top
"C7","100nF","C_0402_1005Metric",149.225000,-89.535000,0.000000,top
"C8","100nF","C_0402_1005Metric",153.670000,-89.535000,0.000000,top
"C9","100nF","C_0402_1005Metric",122.555000,-93.345000,0.000000,top
"C10","100nF","C_0402_1005Metric",127.000000,-93.345000,0.000000,top
"C11","100nF","C_0402_1005Metric",131.445000,-93.345000,0.000000,top
"C12","100nF","C_0402_1005Metric",135.890000,-93.345000,0.000000,top
"C13","100nF","C_0402_1005Metric",140.335000,-93.345000,0.000000,top
"C14","100nF","C_0402_1005Metric",144.780000,-93.345000,0.000000,top
"C15","100nF","C_0402_1005Metric",149.225000,-93.345000,0.000000,top
"C16","100nF","C_0402_1005Metric",153.670000,-93.345000,0.000000,top
"C17","100nF","C_0402_1005Metric",122.555000,-97.155000,0.000000,top
"C18","100nF","C_0402_1005Metric",127.000000,-97.155000,0.000000,top
"C19","100nF","C_0402_1005Metric",131.445000,-97.155000,0.000000,top
"C20","100nF","C_0402_1005Metric",135.890000,-97.155000,0.000000,top
"C21","100nF","C_0402_1005Metric",140.335000,-97.155000,0.000000,top
"C22","100nF","C_0402_1005Metric",144.780000,-97.155000,0.000000,top
"C23","100nF","C_0402_1005Metric",149.225000,-97.155000,0.000000,top
"C24","100nF","C_0402_1005Metric",153.670000,-97.155000,0.000000,top
"C25","100nF","C_0402_1005Metric",122.555000,-100.965000,0.000000,top
"C26","100nF","C_0402_1005Metric",127.000000,-100.965000,0.000000,top
"C27","100nF","C_0402_1005Metric",131.445000,-100.965000,0.000000,top
"C28","100nF","C_0402_1005Metric",135.735000,-100.965000,0.000000,top
"C29","100nF","C_0402_1005Metric",140.335000,-100.965000,0.000000,top
"C30","100nF","C_0402_1005Metric",144.780000,-100.965000,0.000000,top
"C31","100nF","C_0402_1005Metric",149.225000,-100.965000,0.000000,top
"C32","100nF","C_0402_1005Metric",153.670000,-100.965000,0.000000,top
"C33","100nF","C_0402_1005Metric",122.555000,-104.775000,0.000000,top
"C34","100nF","C_0402_1005Metric",127.000000,-104.775000,0.000000,top
"C35","100nF","C_0402_1005Metric",131.445000,-104.775000,0.000000,top
"C36","100nF","C_0402_1005Metric",135.890000,-104.775000,0.000000,top
"C37","100nF","C_0402_1005Metric",140.335000,-104.775000,0.000000,top
"C38","100nF","C_0402_1005Metric",144.625000,-104.775000,0.000000,top
"C39","100nF","C_0402_1005Metric",149.225000,-104.775000,0.000000,top
"C40","100nF","C_0402_1005Metric",153.670000,-104.775000,0.000000,top
"C41","100nF","C_0402_1005Metric",122.555000,-108.585000,0.000000,top
"C42","100nF","C_0402_1005Metric",127.000000,-108.585000,0.000000,top
"C43","100nF","C_0402_1005Metric",131.445000,-108.585000,0.000000,top
"C44","100nF","C_0402_1005Metric",135.890000,-108.585000,0.000000,top
"C45","100nF","C_0402_1005Metric",140.335000,-108.585000,0.000000,top
"C46","100nF","C_0402_1005Metric",144.780000,-108.585000,0.000000,top
"C47","100nF","C_0402_1005Metric",149.225000,-108.585000,0.000000,top
"C48","100nF","C_0402_1005Metric",153.670000,-108.585000,0.000000,top
"C49","100nF","C_0402_1005Metric",122.555000,-112.395000,0.000000,top
"C50","100nF","C_0402_1005Metric",127.000000,-112.395000,0.000000,top
"C51","100nF","C_0402_1005Metric",131.445000,-112.395000,0.000000,top
"C52","100nF","C_0402_1005Metric",135.890000,-112.395000,0.000000,top
"C53","100nF","C_0402_1005Metric",140.335000,-112.395000,0.000000,top
