Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0603_1608Metric",195.580000,-114.300000,180.000000,top
"C2","100nF","C_0603_1608Metric",195.580000,-122.555000,180.000000,top
"C3","100nF","C_0603_1608Metric",205.740000,-114.300000,180.000000,top
"C4","100nF","C_0603_1608Metric",205.740000,-122.555000,180.000000,top
"J1","STM32WORLD_CONNECTOR_1","PinSocket_2x20_P2.54mm_Vertical_Stackable",160.020000,-138.430000,90.000000,top
"J2","STM32WORLD_CONNECTOR_2","PinSocket_2x20_P2.54mm_Vertical_Stackable",208.280000,-102.870000,-90.000000,top
"R1","4k7","R_0603_1608Metric",203.200000,-132.080000,90.000000,top
"R2","4k7","R_0603_1608Metric",206.248000,-132.080000,90.000000,top
"R3","4k7","R_0603_1608Metric",200.152000,-132.080000,-90.000000,top
"U1","M24M01","SOIC-8_3.9x4.9mm_P1.27mm",193.675000,-118.110000,270.000000,top
"U2","M24M01","SOIC-8_3.9x4.9mm_P1.27mm",193.675000,-126.365000,270.000000,top
"U3","M24M01","SOIC-8_3.9x4.9mm_P1.27mm",203.835000,-118.110000,270.000000,top
"U4","M24M01","SOIC-8_3.9x4.9mm_P1.27mm",203.835000,-126.365000,270.000000,top
