Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",167.640000,-102.870000,180.000000,top
"C2","100nF","C_0603_1608Metric",167.640000,-114.935000,180.000000,top
"J2","STM32WORLD_CONNECTOR_1","PinSocket_2x20_P2.54mm_Vertical_Stackable",132.080000,-123.190000,90.000000,top
"J3","STM32WORLD_CONNECTOR_2","PinSocket_2x20_P2.54mm_Vertical_Stackable",180.340000,-87.630000,-90.000000,top
"R1","4K7","R_0603_1608Metric",167.640000,-99.060000,0.000000,top
"R2","4K7","R_0603_1608Metric",167.640000,-100.965000,0.000000,top
"R3","4K7","R_0603_1608Metric",167.640000,-111.125000,0.000000,top
"R4","4K7","R_0603_1608Metric",167.640000,-113.030000,0.000000,top
"U1","ATECC608A","DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm",172.540000,-100.445000,180.000000,top
"U2","ATECC608B","DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm",172.540000,-112.510000,180.000000,top
