"Reference","Value","Qty","LCSC"
"C1","10uF","1","C15850"
"C2","100nF","1","C14663"
"C3","10uF","1","C15850"
"C4","1uF","1","C15849"
"C5","100nF","1","C14663"
"C6","100nF","1","C14663"
"C7","100nF","1","C14663"
"C8","100nF","1","C14663"
"C9","100nF","1","C14663"
"C10","100nF","1","C14663"
"C11","20pF","1","C1648"
"C12","2.2uF","1","C23630"
"C13","20pF","1","C1648"
"C14","2.2uF","1","C23630"
"C15","100nF","1","C14663"
"C16","100nF","1","C14663"
"D1","PSM712","1","C32677"
"D2","B5819W","1","C8598"
"D3","LED_GREEN_0603","1","C19171301"
"D4","LED_BLUE_0603","1","C2288"
"FB1","FB_0603","1","C1002"
"J1","~","1",""
"J2","TYPE-C-31-M-12","1","C165948"
"JP1","SolderJumper_2_Bridged","1",""
"JP2","SolderJumper_2_Bridged","1",""
"JP3","SolderJumper_2_Open","1",""
"JP4","SolderJumper_2_Open","1",""
"R1","R_5.1K_0603","1","C23186"
"R2","R_5.1K_0603","1","C23186"
"R3","R_10K_0603","1","C25804"
"R4","R_10K_0603","1","C25804"
"R5","R_220_0603","1","C22962"
"R6","R_220_0603","1","C22962"
"SW1","TS-1088R-02526","1","C455281"
"SW2","TS-1088R-02526","1","C455281"
"U1","AMS1117-3.3","1","C6186"
"U3","STM32F407VETx","1","C28730"
"Y1","X_16MHZ","1","C13738"
